name,cv_mean,cv_std,oof_r2
Winsor[2-98]+Ridge(α=3),0.020172158988238476,0.009284757613130601,0.0112587878217012
Winsor[2-98]+Ridge(α=10),0.02013943664691371,0.009303649977181142,0.011222871047223748
Winsor[2-98]+Ridge(α=30),0.020045166392872082,0.009355166568560285,0.011121478313197541
Winsor[2-98]+Ridge(α=100),0.01970765502703613,0.009507545278620027,0.010780329096478303
"Winsor[0.5-99.5]+kNN(k=300,distance)",0.019227254703548847,0.008927363834421454,0.01060786211707998
"Winsor[0.5-99.5]+kNN(k=300,uniform)",0.01868227664882318,0.008716844372172563,0.01032329378526664
"Winsor[1.5-98.5]+EN(α=1,l1=0.1)",0.016974245509979235,0.008281964806667283,0.009239782247668415
"Winsor[0.5-99.5]+kNN(k=500,distance)",0.016056661832368646,0.007555400372269861,0.009005960705402272
"Winsor[1-99]+kNN(k=100,distance)",0.01563147553307769,0.006902835385356948,0.009004249556450183
"Winsor[1-99]+kNN(k=100,uniform)",0.014865732241150375,0.0064111206840431175,0.008832387865581048
"Winsor[0.5-99.5]+kNN(k=500,uniform)",0.015286709226540806,0.007202250708421075,0.008682430608909497
"Winsor[1-99]+kNN(k=200,distance)",0.01479949303852468,0.006629767568991097,0.008232261872303637
"Winsor[1-99]+kNN(k=200,uniform)",0.014293452905446036,0.00624169624545882,0.00808499251233874
"Winsor[1.5-98.5]+EN(α=10,l1=0.9)",0.014585186688818719,0.007586760554123257,0.007727717293666281
"Winsor[1-99]+kNN(k=300,distance)",0.014222909502110559,0.007776462202801063,0.0071225586676579855
"Winsor[1-99]+kNN(k=300,uniform)",0.013766097038296565,0.007483721023814574,0.006933315552448582
"Winsor[0.5-99.5]+EN(α=10,l1=0.5)",0.008387599932325717,0.006637020698390077,0.00675334389110116
"Winsor[1.5-98.5]+kNN(k=100,distance)",0.012459573794674527,0.006517728134327046,0.006409820296130131
"Winsor[1.5-98.5]+kNN(k=100,uniform)",0.011902721162818986,0.00599025868800364,0.0062997728807761
"Winsor[1-99]+kNN(k=500,distance)",0.011670687438039562,0.006495501184725901,0.005965282385056003
"Winsor[1.5-98.5]+kNN(k=200,distance)",0.011168801257742089,0.0058871329698567025,0.005784842528027134
"Winsor[1-99]+kNN(k=500,uniform)",0.011092914716093794,0.006102257416450555,0.00574647502737069
"Winsor[1.5-98.5]+kNN(k=200,uniform)",0.01077264174603063,0.0055554587232627675,0.005682815172532885
"Winsor[1.5-98.5]+kNN(k=300,distance)",0.01042535890274674,0.006226318706689587,0.005044758298718532
"Winsor[1.5-98.5]+kNN(k=300,uniform)",0.010060971661928741,0.0059590304739227514,0.004916177677362299
"Winsor[1-99]+EN(α=10,l1=0.5)",0.005108157821419379,0.002992945274892336,0.004224058000105613
"Winsor[1.5-98.5]+kNN(k=500,distance)",0.008374081819096001,0.005038096699794634,0.004217394575093403
"Winsor[0.5-99.5]+EN(α=10,l1=0.1)",0.0024888515038258953,0.008442486825184089,0.004158362992566111
"Winsor[1.5-98.5]+kNN(k=500,uniform)",0.007926573392774472,0.00471666176812809,0.004065234524621819
"Winsor[1.5-98.5]+EN(α=10,l1=0.5)",0.0029212416918531934,0.002792069505780655,0.002810733273245436
"Winsor[1-99]+EN(α=10,l1=0.1)",0.001088287365444618,0.0051562098925166545,0.0026286909516821666
"Winsor[1.5-98.5]+EN(α=10,l1=0.1)",3.137458645090519e-05,0.004626444471363782,0.001769914354365909
"Winsor[0.5-99.5]+EN(α=100,l1=0.9)",-0.003371043438769994,0.011709662252496901,0.0017457349426788227
"Winsor[0.5-99.5]+EN(α=100,l1=0.5)",-0.00750354056804583,0.0155177728230807,0.00047184200252570196
"Winsor[1-99]+EN(α=100,l1=0.9)",-0.0044782288139460615,0.00882066552222806,0.0003429964247183559
"Winsor[0.5-99.5]+EN(α=100,l1=0.1)",-0.007972384619310425,0.015987714326323937,0.0003332495814714065
"Winsor[1-99]+EN(α=100,l1=0.1)",-0.005694355339644064,0.011036177377394533,0.00023298967508422752
"Winsor[1-99]+EN(α=100,l1=0.5)",-0.0056240126796564425,0.010865382936984141,0.00022969335714340122
"Winsor[1.5-98.5]+EN(α=100,l1=0.1)",-0.004794533894448017,0.008798696086075485,0.00011141790745272662
"Winsor[1.5-98.5]+EN(α=100,l1=0.5)",-0.00494470885801439,0.008853693282887095,3.224093158860075e-05
"Winsor[1.5-98.5]+EN(α=100,l1=0.9)",-0.00500428523893035,0.008657229562798865,-5.473236130737469e-05
